"REGION","FAMINCOME","HH_SIZE","HHTENURE","HH_CHILD","HOUSETYPE","HH_NUMKIDS","AGEYCHILD","HH_NUMADULTS","DAY","WT06","AGE","SEX","MARST","EDUC","EMPSTAT","MULTJOBS","WHYABSNT","FULLPART","UHRSWORKT","EARNWEEK","SPOUSEPRES","SPAGE","SPSEX","SPEDUC","SPEMPSTAT","SPUSUALHRS","SPEARNWEEK","DIFFANY","ECPRIOR","BLS_CAREHH","BLS_CARENHH","BLS_COMM","BLS_EDUC","BLS_FOOD","BLS_HHACT","BLS_LEIS","BLS_PCARE","BLS_PURCH","BLS_SOCIAL","BLS_WORK","RACE4","sp_race4"
"West","$150,000 and over",4,"Owned by household member","Yes","House, apartment, flat",2,15,2,"Saturday",9193374.774095,45,"Male","Married - spouse present","College degree +","Employed - at work","No",NA,"Full time",50,2576.92,"Spouse present",45,"Female","Some college","Employed - at work",30,NA,"No difficulty","No",0,45,10,0,30,170,474,574,137,0,0,"White","White"
"Midwest","$15,000 to $19,999",6,"Owned by household member","Yes","House, apartment, flat",3,12,3,"Thursday",36335962.861965,54,"Female","Married - spouse present","HS diploma, no college","Employed - at work","No",NA,"Full time",40,440,"Spouse present",53,"Male","College degree +","Employed - at work",40,1346,"No difficulty","No",0,0,0,0,80,60,120,618,0,0,562,"Asian","White"
"Northeast","$50,000 to $59,999",1,"Rented for cash","No","House, apartment, flat",0,NA,1,"Sunday",3310041.309256,25,"Female","Never married","College degree +","Employed - at work","Yes",NA,"Full time",52,943,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,0,0,30,0,120,695,130,0,465,"Hispanic/Latino","Other / Mixed"
"West","$150,000 and over",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Wednesday",9632979.325492,58,"Female","Married - spouse present","College degree +","Employed - at work","No",NA,"Full time",40,1115.38,"Spouse present",69,"Male","Some college","Employed - at work",60,1538,"No difficulty","No",0,0,0,0,65,145,120,540,60,0,510,"White","White"
"West","$150,000 and over",1,"Owned by household member","No","House, apartment, flat",0,NA,1,"Thursday",31407673.691282,36,"Female","Never married","College degree +","Employed - at work","No",NA,"Full time",40,2480.76,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","Yes",0,0,120,0,35,51,122,463,18,0,631,"White","Other / Mixed"
"West","$25,000 to $29,999",3,"Rented for cash","Yes","House, apartment, flat",2,13,1,"Monday",9674036.985395,51,"Female","Never married","Some college","Employed - at work","No",NA,"Part time",20,431.25,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,20,0,50,105,55,615,20,0,575,"Hispanic/Latino","Other / Mixed"
"Midwest","$150,000 and over",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Tuesday",8329237.19891,77,"Male","Married - spouse present","College degree +","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",79,"Female","College degree +","Retired",NA,NA,"No difficulty","No",0,0,65,0,80,135,490,570,100,0,0,"Asian","Asian"
"Midwest","$10,000 to $12,499",2,"Rented for cash","No","House, apartment, flat",0,NA,2,"Saturday",11024366.156954,65,"Female","Divorced","HS diploma, no college","Not in labor force",NA,NA,NA,NA,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"Has difficulty","Yes",0,80,0,0,65,10,690,595,0,0,0,"White","Other / Mixed"
"South","$35,000 to $39,999",2,"Rented for cash","No","House, apartment, flat",0,NA,2,"Tuesday",15260267.67152,31,"Female","Married - spouse present","College degree +","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",33,"Male","College degree +","Employed - at work",20,390,"No difficulty","No",0,80,20,280,90,60,165,590,155,0,0,"Asian","Asian"
"West","$12,500 to $14,999",1,"Rented for cash","No","House, apartment, flat",0,NA,1,"Wednesday",5645323.508271,85,"Male","Widowed","College degree +","Not in labor force",NA,NA,NA,NA,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"Has difficulty","No",0,0,0,0,205,10,865,300,0,0,60,"White","Other / Mixed"
"Midwest","$20,000 to $24,999",1,"Rented for cash","No","House, apartment, flat",0,NA,1,"Wednesday",10714917.798152,62,"Male","Widowed","Some college","Employed - at work","No",NA,"Part time",25,350,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"Has difficulty","No",0,0,0,0,15,0,690,435,0,0,300,"White","Other / Mixed"
"Midwest","$40,000 to $49,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Sunday",2738493.096297,71,"Male","Married - spouse present","College degree +","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",70,"Female","College degree +","Not employed",NA,NA,"No difficulty","No",0,0,0,0,20,180,735,425,80,0,0,"White","White"
"South","$10,000 to $12,499",3,"Owned by household member","Yes","House, apartment, flat",1,12,2,"Thursday",15740396.009338,73,"Female","Married - spouse present","HS diploma, no college","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",72,"Male","HS diploma, no college","Retired",NA,NA,"No difficulty","No",0,0,0,0,60,180,570,630,0,0,0,"Black/African American","Black/African American"
"West","$15,000 to $19,999",6,"Owned by household member","Yes","Mobile home w/ 1+ rooms added",4,4,2,"Monday",9142575.777401,56,"Female","Married - spouse present","College degree +","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",54,"Male","Less than HS diploma","Not employed",NA,308,"No difficulty","No",256,19,0,0,90,240,90,480,145,0,0,"Hispanic/Latino","Hispanic/Latino"
"South","$7,500 to $9,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Wednesday",8583106.862465,78,"Female","Married - spouse present","HS diploma, no college","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",80,"Male","HS diploma, no college","Not employed",NA,NA,"Has difficulty","No",0,0,0,0,40,38,552,645,38,0,0,"White","White"
"West","$100,000 to $149,999",3,"Owned by household member","No","House, apartment, flat",0,NA,3,"Thursday",15901351.198145,38,"Male","Never married","College degree +","Employed - at work","No",NA,"Full time",40,958.84,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,191,20,95,0,40,599,0,0,495,"White","Other / Mixed"
"Midwest","$7,500 to $9,999",1,"Owned by household member","No","House, apartment, flat",0,NA,1,"Tuesday",10929860.997906,62,"Female","Divorced","Some college","Not in labor force",NA,NA,NA,NA,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,269,0,15,240,270,481,0,0,0,"White","Other / Mixed"
"Northeast","$12,500 to $14,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Friday",11507318.196753,80,"Female","Divorced","HS diploma, no college","Not in labor force",NA,NA,NA,NA,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"Has difficulty","No",0,0,0,0,90,535,185,630,0,0,0,"White","Other / Mixed"
"Northeast","$60,000 to $74,999",3,"Owned by household member","No","House, apartment, flat",0,NA,3,"Thursday",19064675.340993,66,"Male","Never married","HS diploma, no college","Not in labor force",NA,NA,NA,NA,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","Yes",47,0,30,0,138,30,660,495,40,0,0,"White","Other / Mixed"
"South","$35,000 to $39,999",3,"Owned by household member","No","House, apartment, flat",0,NA,3,"Monday",22208835.64056,54,"Female","Widowed","HS diploma, no college","Not in labor force",NA,NA,NA,NA,NA,"Unmarried partner present",47,"Male","Some college",NA,40,1040,"No difficulty","Yes",90,0,0,0,20,360,340,540,90,0,0,"White","White"
"Northeast","$7,500 to $9,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Sunday",3370333.678336,80,"Female","Married - spouse present","College degree +","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",80,"Male","College degree +","Retired",NA,NA,"No difficulty","Yes",0,0,0,0,95,145,450,510,100,80,0,"White","White"
"Midwest","$35,000 to $39,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Sunday",8811002.790743,68,"Female","Married - spouse present","HS diploma, no college","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",69,"Male","HS diploma, no college","Not employed",NA,NA,"No difficulty","No",0,0,125,0,15,124,395,781,0,0,0,"White","White"
"Northeast","$60,000 to $74,999",3,"Owned by household member","No","House, apartment, flat",0,NA,3,"Sunday",7566700.313795,71,"Female","Married - spouse present","HS diploma, no college","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",71,"Male","Less than HS diploma","Retired",NA,NA,"No difficulty","No",0,0,0,0,40,45,523,655,0,82,0,"White","White"
"Northeast","$40,000 to $49,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Saturday",4343383.080416,67,"Male","Married - spouse present","Some college","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",64,"Female","Some college","Retired",NA,NA,"No difficulty","No",0,0,0,0,105,110,640,515,70,0,0,"White","Asian"
"South","$25,000 to $29,999",2,"Rented for cash","No","House, apartment, flat",0,NA,2,"Tuesday",27810179.332189,28,"Female","Never married","College degree +","Not in labor force",NA,NA,NA,NA,NA,"Unmarried partner present",27,"Male","College degree +","Not employed",NA,NA,"No difficulty","No",0,0,0,0,60,105,375,900,0,0,0,"Asian","Asian"
"West","$75,000 to $99,999",1,"Owned by household member","No","House, apartment, flat",0,NA,1,"Sunday",2855883.447096,78,"Female","Married - spouse absent","Some college","Not in labor force",NA,NA,NA,NA,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,0,0,90,160,390,600,110,0,0,"White","Other / Mixed"
"Northeast","$150,000 and over",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Sunday",4798008.116184,35,"Female","Never married","College degree +","Employed - absent","No","Vacation/personal days","Full time",40,1769.23,"Unmarried partner present",38,"Male","College degree +","Employed - not at work",50,2884.61,"No difficulty","No",0,0,0,0,260,330,240,610,0,0,0,"White","White"
"South","$150,000 and over",5,"Owned by household member","Yes","House, apartment, flat",3,1,2,"Saturday",8256503.529537,34,"Male","Married - spouse present","College degree +","Employed - at work","No",NA,"Full time",40,2884.61,"Spouse present",33,"Female","College degree +","Employed - at work",8,160,"No difficulty","No",240,0,0,0,195,275,170,560,0,0,0,"White","White"
"West","$60,000 to $74,999",1,"Owned by household member","No","House, apartment, flat",0,NA,1,"Sunday",4065054.175952,60,"Female","Never married","HS diploma, no college","Not in labor force",NA,NA,NA,NA,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,0,0,15,0,510,590,0,235,0,"Black/African American","Other / Mixed"
"South","$100,000 to $149,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Thursday",8916987.880013,55,"Female","Married - spouse present","College degree +","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",62,"Male","College degree +","Employed - not at work",72,600,"Has difficulty","Yes",0,0,0,0,30,30,720,660,0,0,0,"White","White"
"Northeast","$60,000 to $74,999",1,"Owned by household member","No","House, apartment, flat",0,NA,1,"Saturday",4556917.82145,66,"Female","Divorced","College degree +","Not in labor force",NA,NA,NA,NA,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,0,0,280,250,355,555,0,0,0,"White","Other / Mixed"
"West","$25,000 to $29,999",3,"Rented for cash","Yes","House, apartment, flat",2,8,1,"Saturday",3361684.65507,43,"Female","Married - spouse absent","College degree +","Employed - at work","No",NA,"Part time",10,175,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",60,0,0,0,60,180,390,750,0,0,0,"Asian","Other / Mixed"
"West","$100,000 to $149,999",1,"Owned by household member","No","House, apartment, flat",0,NA,1,"Friday",16690875.794827,52,"Male","Widowed","HS diploma, no college","Employed - at work","No",NA,"Full time",40,1815.6,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,0,0,60,80,255,510,30,0,505,"Black/African American","Other / Mixed"
"Northeast","$150,000 and over",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Wednesday",14796739.445032,48,"Female","Married - spouse present","Some college","Employed - at work","No",NA,"Part time",24,800,"Spouse present",50,"Male","College degree +","Employed - at work",50,2884.61,"No difficulty","No",0,0,17,0,40,269,172,680,262,0,0,"White","White"
"South","$150,000 and over",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Tuesday",27891607.565256,29,"Female","Married - spouse present","College degree +","Employed - at work","No",NA,"Full time",40,1634.61,"Spouse present",33,"Male","College degree +","Employed - at work",40,2884.61,"No difficulty","No",0,0,0,0,75,0,315,560,0,0,0,"Asian","Asian"
"West","$40,000 to $49,999",5,"Owned by household member","Yes","House, apartment, flat",2,2,3,"Sunday",4689110.908082,56,"Female","Married - spouse present","Less than HS diploma","Not in labor force",NA,NA,NA,NA,NA,"Unmarried partner present",58,"Male","Less than HS diploma","Employed - at work",40,550,"No difficulty","No",0,0,0,0,60,760,5,615,0,0,0,"Hispanic/Latino","Hispanic/Latino"
"Midwest","$40,000 to $49,999",5,"Rented for cash","Yes","Mobile home w/o room added",2,1,2,"Sunday",11599564.775244,46,"Male","Married - spouse present","HS diploma, no college","Employed - at work","No",NA,"Full time",40,840,"Spouse present",38,"Female","College degree +","Not employed",NA,NA,"No difficulty","No",0,0,0,0,190,0,520,660,70,0,0,"Hispanic/Latino","Hispanic/Latino"
"Northeast","$35,000 to $39,999",1,"Owned by household member","No","House, apartment, flat",0,NA,1,"Sunday",5861929.592399,51,"Male","Never married","Some college","Employed - at work","No",NA,"Part time",30,0,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,0,0,0,40,370,540,0,490,0,"Black/African American","Other / Mixed"
"Midwest","$15,000 to $19,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Tuesday",22626559.304787,51,"Male","Divorced","Less than HS diploma","Not in labor force",NA,NA,NA,NA,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"Has difficulty","Yes",135,0,0,0,25,360,180,635,105,0,0,"White","Other / Mixed"
"South","$150,000 and over",1,"Owned by household member","No","House, apartment, flat",0,NA,1,"Sunday",4046061.922698,65,"Male","Widowed","College degree +","Employed - absent","No","Vacation/personal days","Full time",40,2865.38,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"Has difficulty","No",0,0,60,0,90,440,360,445,0,0,0,"White","Other / Mixed"
"Midwest","$150,000 and over",4,"Owned by household member","Yes","House, apartment, flat",2,11,2,"Saturday",6479967.360165,41,"Female","Married - spouse present","College degree +","Employed - at work","No",NA,"Full time",45,1269.23,"Spouse present",43,"Male","College degree +","Employed - at work",40,2884.61,"No difficulty","No",50,0,30,0,15,60,160,835,0,290,0,"White","White"
"West","$150,000 and over",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Tuesday",24479074.449413,37,"Female","Married - spouse present","College degree +","Employed - at work","Yes",NA,"Full time",70,2538.46,"Unmarried partner present",36,"Male","College degree +","Employed - at work",50,1846,"No difficulty","Yes",0,0,0,0,0,115,195,495,30,0,605,"Hispanic/Latino","White"
"West","Less than $5,000",1,"Rented for cash","No","House, apartment, flat",0,NA,1,"Monday",8601616.532629,48,"Female","Never married","College degree +","Employed - at work","No",NA,"Part time",NA,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,0,0,15,195,315,550,140,0,225,"Hispanic/Latino","Other / Mixed"
"South","$35,000 to $39,999",2,"Rented for cash","No","House, apartment, flat",0,NA,2,"Saturday",8280147.997311,64,"Female","Married - spouse present","HS diploma, no college","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",52,"Male","Some college","Not employed",NA,NA,"Has difficulty","No",0,0,205,0,120,0,365,750,0,0,0,"Hispanic/Latino","Hispanic/Latino"
"South","$75,000 to $99,999",1,"Owned by household member","No","House, apartment, flat",0,NA,1,"Sunday",2058556.484965,76,"Female","Divorced","College degree +","Employed - at work","No",NA,"Part time",5,184.61,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,0,0,90,70,390,675,140,75,0,"White","Other / Mixed"
"South","$40,000 to $49,999",2,"Rented for cash","No","House, apartment, flat",0,NA,2,"Monday",7671168.800648,79,"Male","Married - spouse present","College degree +","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",80,"Female","College degree +","Retired",NA,NA,"No difficulty","No",0,0,0,0,180,525,90,645,0,0,0,"White","White"
"Midwest","$25,000 to $29,999",1,"Owned by household member","No","House, apartment, flat",0,NA,1,"Saturday",2202845.759892,71,"Female","Divorced","Some college","Employed - at work","No",NA,"Part time",25,300,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,0,0,75,430,345,425,165,0,0,"White","Other / Mixed"
"West","$35,000 to $39,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Monday",7645840.295275,76,"Male","Married - spouse present","Some college","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",78,"Female","Some college","Not employed",NA,NA,"Has difficulty","No",0,0,0,0,180,300,450,510,0,0,0,"White","White"
"South","$40,000 to $49,999",4,"No cash rent","Yes","House, apartment, flat",1,8,3,"Friday",21165390.255248,34,"Female","Divorced","Some college","Unemployed - looking",NA,NA,NA,NA,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",15,0,50,0,185,140,720,230,60,0,0,"Hispanic/Latino","Other / Mixed"
"South","$150,000 and over",3,"Owned by household member","Yes","House, apartment, flat",2,16,1,"Friday",27121668.408102,48,"Female","Separated","College degree +","Employed - at work","No",NA,"Full time",45,1500,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,0,0,243,45,300,615,72,165,0,"White","Other / Mixed"
"Midwest","$100,000 to $149,999",4,"Owned by household member","Yes","House, apartment, flat",2,2,2,"Monday",16743080.191322,60,"Female","Married - spouse present","HS diploma, no college","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",56,"Male","Some college","Employed - at work",48,1923.07,"No difficulty","No",0,0,30,0,60,145,495,650,0,0,0,"White","White"
"West","$60,000 to $74,999",1,"Rented for cash","No","House, apartment, flat",0,NA,1,"Sunday",1997366.555747,41,"Female","Never married","College degree +","Employed - at work","No",NA,"Full time",45,1557.69,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"Has difficulty","No",0,0,0,0,30,0,340,600,0,0,470,"Hispanic/Latino","Other / Mixed"
"Midwest","$75,000 to $99,999",5,"Owned by household member","Yes","House, apartment, flat",3,0,2,"Tuesday",9243787.298671,36,"Male","Married - spouse present","Some college","Employed - at work","Yes",NA,"Full time",50,1296.88,"Spouse present",33,"Female","HS diploma, no college","Not employed",NA,NA,"No difficulty","No",220,0,0,0,40,0,650,530,0,0,0,"White","White"
"Midwest","$30,000 to $34,999",2,"Owned by household member","Yes","Mobile home w/o room added",1,9,1,"Saturday",2946290.278363,48,"Male","Never married","Some college","Employed - at work","No",NA,"Full time",37,666,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",60,0,0,0,20,245,280,625,210,0,0,"White","Other / Mixed"
"South","$75,000 to $99,999",3,"Owned by household member","Yes","House, apartment, flat",1,0,2,"Tuesday",9167498.407218,32,"Female","Married - spouse present","College degree +","Employed - at work","No",NA,"Full time",40,807.69,"Spouse present",30,"Male","Some college","Employed - at work",55,940.8,"No difficulty","No",125,0,0,0,75,75,115,660,0,0,390,"Other / Mixed","White"
"South","$60,000 to $74,999",3,"Owned by household member","Yes","House, apartment, flat",1,10,2,"Friday",29272091.891177,30,"Female","Married - spouse present","HS diploma, no college","Employed - at work","No",NA,"Part time",28,375,"Spouse present",35,"Male","Less than HS diploma","Employed - at work",50,900,"No difficulty","No",60,0,0,0,25,270,335,565,0,175,0,"Hispanic/Latino","Hispanic/Latino"
"South","$150,000 and over",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Monday",16035492.642979,33,"Male","Never married","College degree +","Employed - at work","No",NA,"Full time",40,NA,"Spouse present",31,"Female","College degree +","Employed - at work",40,NA,"No difficulty","No",0,0,0,0,45,130,155,550,0,0,560,"White","White"
"West","$150,000 and over",1,"Owned by household member","No","House, apartment, flat",0,NA,1,"Sunday",2290076.429774,58,"Female","Separated","College degree +","Employed - at work","No",NA,"Full time",50,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,0,180,35,215,180,690,90,0,50,"White","Other / Mixed"
"Midwest","$100,000 to $149,999",3,"Owned by household member","Yes","House, apartment, flat",1,13,2,"Tuesday",14663230.280099,49,"Female","Married - spouse present","College degree +","Employed - at work","No",NA,"Full time",40,1343.74,"Spouse present",57,"Male","HS diploma, no college","Employed - at work",40,1215.95,"No difficulty","Yes",0,0,20,0,85,50,295,565,55,0,370,"White","White"
"South","$35,000 to $39,999",1,"Rented for cash","No","House, apartment, flat",0,NA,1,"Saturday",6964613.891181,33,"Male","Never married","College degree +","Employed - at work","No",NA,"Full time",40,1192.3,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,0,0,70,110,450,680,130,0,0,"White","Other / Mixed"
"South","$100,000 to $149,999",4,"Owned by household member","Yes","House, apartment, flat",1,15,3,"Monday",11228888.798349,74,"Male","Married - spouse present","College degree +","Employed - at work","No",NA,"Full time",NA,1300,"Spouse present",76,"Female","Some college","Retired",NA,NA,"No difficulty","No",0,0,0,0,20,85,105,545,0,0,685,"White","White"
"South","$150,000 and over",3,"Owned by household member","No","House, apartment, flat",0,NA,3,"Sunday",6194586.710083,85,"Male","Married - spouse present","College degree +","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",85,"Female","Some college","Not employed",NA,NA,"Has difficulty",NA,0,0,0,0,60,120,516,660,84,0,0,"White","White"
"South","$75,000 to $99,999",1,"Owned by household member","No","Mobile home w/o room added",0,NA,1,"Sunday",2488536.797128,64,"Female","Divorced","College degree +","Employed - at work","No",NA,"Part time",30,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"Has difficulty","Yes",0,125,0,0,280,0,455,560,20,0,0,"White","Other / Mixed"
"West","$40,000 to $49,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Thursday",5656209.182262,66,"Male","Married - spouse present","Some college","Employed - at work","No",NA,"Part time",10,NA,"Spouse present",64,"Female","Some college","Employed - at work",5,NA,"No difficulty","No",0,0,0,0,60,0,595,565,210,0,0,"White","White"
"South","$100,000 to $149,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Wednesday",13372936.738211,72,"Male","Married - spouse present","College degree +","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",58,"Female","College degree +","Employed - at work",50,1730.76,"No difficulty","Yes",0,0,0,0,50,454,366,570,0,0,0,"Black/African American","Black/African American"
"Midwest","$60,000 to $74,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Saturday",3250202.225018,60,"Female","Married - spouse present","College degree +","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",62,"Male","Some college","Employed - at work",40,730.76,"Has difficulty","No",0,0,0,0,95,45,610,690,0,0,0,"White","White"
"West","$75,000 to $99,999",2,"Rented for cash","Yes","House, apartment, flat",1,9,1,"Sunday",2487487.253736,45,"Female","Separated","Some college","Employed - at work","No",NA,"Full time",40,1790.76,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",10,0,0,0,10,630,110,530,150,0,0,"Hispanic/Latino","Other / Mixed"
"South","$75,000 to $99,999",1,"Owned by household member","No","House, apartment, flat",0,NA,1,"Saturday",3024075.546169,57,"Male","Never married","Some college","Employed - at work","No",NA,"Part time",12,2115.38,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,720,0,0,15,5,60,500,135,0,5,"White","Other / Mixed"
"South","$75,000 to $99,999",3,"Owned by household member","No","House, apartment, flat",0,NA,3,"Wednesday",24285627.100039,26,"Male","Never married","College degree +","Employed - at work","No",NA,"Full time",40,700,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",9,0,0,0,110,14,296,425,9,0,478,"White","Other / Mixed"
"West","$150,000 and over",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Tuesday",7754219.035112,67,"Female","Never married","College degree +","Not in labor force",NA,NA,NA,NA,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,0,0,5,0,730,705,0,0,0,"White","Other / Mixed"
"South","$25,000 to $29,999",1,"Owned by household member","No","House, apartment, flat",0,NA,1,"Friday",7473816.386982,72,"Female","Divorced","Some college","Employed - at work","No",NA,"Part time",8,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","Yes",0,80,50,0,65,160,225,555,150,0,155,"White","Other / Mixed"
"Midwest","$50,000 to $59,999",2,"Rented for cash","No","House, apartment, flat",0,NA,2,"Sunday",11023551.661634,35,"Male","Married - spouse present","HS diploma, no college","Employed - at work","No",NA,"Full time",40,769.23,"Spouse present",35,"Female","HS diploma, no college","Employed - at work",40,NA,"No difficulty","No",0,0,0,0,70,630,270,470,0,0,0,"White","White"
"West","$15,000 to $19,999",1,"Rented for cash","No","House, apartment, flat",0,NA,1,"Saturday",3064813.286455,73,"Female","Divorced","Some college","Not in labor force",NA,NA,NA,NA,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,0,0,59,15,802,450,114,0,0,"Other / Mixed","Other / Mixed"
"South","$60,000 to $74,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Thursday",9546410.437184,75,"Male","Married - spouse present","HS diploma, no college","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",70,"Female","Some college","Not employed",NA,NA,"No difficulty","No",0,0,0,0,60,360,510,480,30,0,0,"White","White"
"Northeast","$150,000 and over",3,"Owned by household member","Yes","House, apartment, flat",2,12,1,"Thursday",5054409.997927,65,"Male","Separated","College degree +","Employed - at work","No",NA,"Full time",50,2884.61,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,45,0,61,0,75,490,6,0,763,"White","Other / Mixed"
"Midwest","$40,000 to $49,999",1,"Owned by household member","No","House, apartment, flat",0,NA,1,"Monday",8829171.221651,80,"Female","Widowed","Some college","Not in labor force",NA,NA,NA,NA,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,60,0,60,510,345,465,0,0,0,"White","Other / Mixed"
"South","$30,000 to $34,999",2,"Owned by household member","No","Mobile home w/o room added",0,NA,2,"Sunday",6618729.847053,57,"Female","Divorced","HS diploma, no college","Employed - at work","No",NA,"Full time",35,440,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,0,0,45,440,150,805,0,0,0,"White","Other / Mixed"
"South","$150,000 and over",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Sunday",6126100.769878,64,"Male","Married - spouse present","HS diploma, no college","Employed - at work","No",NA,"Full time",40,1634.61,"Spouse present",62,"Female","Some college","Not employed",NA,NA,"No difficulty","Yes",0,0,150,0,100,280,120,695,75,0,20,"White","White"
"Midwest","$75,000 to $99,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Saturday",6367449.839745,66,"Male","Married - spouse present","HS diploma, no college","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",64,"Female","HS diploma, no college","Employed - at work",NA,1500,"No difficulty","No",0,0,0,0,20,326,254,640,0,0,200,"White","White"
"South","$100,000 to $149,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Saturday",4431178.54078,77,"Male","Married - spouse present","College degree +","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",71,"Female","HS diploma, no college","Not employed",NA,NA,"No difficulty","No",0,0,0,0,95,215,410,600,120,0,0,"White","White"
